web_scraper_order,web_scraper_start_url,rooms_area_price_raw,adress_raw,price_raw,descriptions_raw,text_raw
"1762630500-90","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","4.5 Zimmer, 155m², CHF 3’540.–","Ida-Sträuli-Strasse 43, 8404 Winterthur","CHF 3’540.–","4.5-Zimmerwohnung mit Terrasse in Winterthur",""
"1762630500-91","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3.5 Zimmer, 66m², CHF 1’860.–","Flüelistr. 2, 8400 Winterthur","CHF 1’860.–","Zentrales Veltheim in 10 Minuten zu Fuss am Bahnhof ""MIETEN OHNE KAUTION""","Im Quartier Veltheim wird diese charmante 3.5 Zimmerwohnung frei- charmante Wohnung- offene Küche mit Geschirrspüler und Glaskeramikherd- Bad mit Doppellavabo- ganze Wohnung mit Parkettboden- Wandschrank- sonniger Balkon- Kellerabteil- Bushaltestelle und Einkaufsmöglichkeiten in unmittelbarer Nähe- Die Wohnung wird ohne Parkplatz vermietet.Die Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin, Bewerbungslink sowie weitere Informationen senden Sie uns eine Nachricht via Kontaktformular. Sie erhalten anschliessend eine automatische Nachricht mit den erwähnten Informationen. Wir freuen uns auf Ihre Kontaktaufnahme!"
"1762630500-92","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3.5 Zimmer, 120m², CHF 3’750.–","Sankt-Georgen-Strasse 70, 8400 Winterthur","CHF 3’750.–","neue 3.5-Zimmer-Attikawohnungen mitten in Winterthur",""
"1762630500-93","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3.5 Zimmer, 92m², CHF 3’080.–","Schönholzweg 43, 8409 Winterthur","CHF 3’080.–","Wohnüberbauung DOMUM Winterthur",""
"1762630500-94","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","2.5 Zimmer, 59m², CHF 1’910.–","Ida-Sträuli-Strasse 47, 8404 Winterthur","CHF 1’910.–","2.5-Zimmerwohnung in Winterthur / Sue&Til - smart&urban",""
"1762630500-95","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3 Zimmer, 66m², CHF 1’570.–","Unterwiesenstrasse 6, 8408 Winterthur","CHF 1’570.–","Grosser gedeckter Balkon",""
"1762630500-96","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3.5 Zimmer, 92m², CHF 2’420.–","Ida-Sträuli-Strasse 47, 8404 Winterthur","CHF 2’420.–","3.5-Zimmerwohnung in Winterthur",""
"1762630500-97","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","4 Zimmer, 75m², CHF 1’710.–","Strahleggstrasse 64, 8400 Winterthur","CHF 1’710.–","Ihre neue Wohlfühloase",""
"1762630500-98","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","2.5 Zimmer, 56m², CHF 1’550.–","Kanzleistrasse 21, 8405 Winterthur","CHF 1’550.–","Hier endet Ihre Wohnungssuche",""
"1762630500-99","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","2.5 Zimmer, 77m², CHF 2’130.–","Stadthausstrasse 12, 8400 Winterthur","CHF 2’130.–","Geniale Dachwohnung im Stadtzentrum von Winterthur",""
"1762630500-100","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","2.5 Zimmer, 69m², CHF 2’010.–","Sulzerallee 81, 8404 Winterthur","CHF 2’010.–","2.5 - Zimmerwohnung in Winterthur",""
